"drug_name","Total_Score","Total_Importance","Matched_Targets","Average_StandardValue","Matched_Gene_Names","Matched_Target_Details"
"MASOPROCOL",-3.3751561233167,4.62821338091823,2,2022.5,"PGR; PTGS2","Gene: PGR, Target: P06401, Standard Value: 945, logFC: -4.54195785233846, Effect Type: suppress; Gene: PTGS2, Target: P35354, Standard Value: 3100, logFC: 6.82854706638038, Effect Type: suppress"
"MEDROXYPROGESTERONE ACETATE",3347.02958461888,16.080948285348,6,402.106166666667,"AKR1C3; AR; ESR1; NR3C1; NR3C2; PGR","Gene: AKR1C3, Target: P42330, Standard Value: 280, logFC: 2.769041474659, Effect Type: suppress; Gene: AR, Target: P10275, Standard Value: 2.9, logFC: 1.78098041604884, Effect Type: suppress; Gene: ESR1, Target: P03372, Standard Value: 924, logFC: -1.3571743946305, Effect Type: suppress; Gene: NR3C1, Target: P04150, Standard Value: 8.637, logFC: -2.11138293138662, Effect Type: suppress; Gene: NR3C2, Target: P08235, Standard Value: 1197, logFC: -1.30741877382708, Effect Type: suppress; Gene: PGR, Target: P06401, Standard Value: 0.1, logFC: -4.54195785233846, Effect Type: promote"
"MEGESTROL ACETATE",-157.590572835098,2.210234038054,1,8.769,"NR3C1","Gene: NR3C1, Target: P04150, Standard Value: 8.769, logFC: -2.11138293138662, Effect Type: suppress"
"MELPHALAN",7.32810738982647,0.749613668705421,1,6817.3,"PTGS1","Gene: PTGS1, Target: P23219, Standard Value: 6817.3, logFC: 8.07161671437733, Effect Type: suppress"
"METHOTREXATE",228.643702339625,3.08779852378078,2,5.3,"DHFR; TYMS","Gene: DHFR, Target: P00374, Standard Value: 0.6, logFC: 1.08937628092003, Effect Type: suppress; Gene: TYMS, Target: P04818, Standard Value: 10, logFC: 1.44111172091726, Effect Type: suppress"
"MIDOSTAURIN",113.481718547968,1.4498274923836,2,3020,"ASPH; RET","Gene: ASPH, Target: Q12797, Standard Value: 6020, logFC: 1.27629103799675, Effect Type: suppress; Gene: RET, Target: P07949, Standard Value: 20, logFC: 3.97389650269221, Effect Type: suppress"
"MITOTANE",47.6195497054998,2.22406994572654,1,450,"PGR","Gene: PGR, Target: P06401, Standard Value: 450, logFC: -4.54195785233846, Effect Type: promote"
"MITOXANTRONE",59.1393714030495,7.41500790092362,3,8352.63333333333,"CACNA1D; FYN; PTGS2","Gene: CACNA1D, Target: Q01668, Standard Value: 22500, logFC: -1.76845796417304, Effect Type: suppress; Gene: FYN, Target: P06241, Standard Value: 1257.9, logFC: 1.68170214430336, Effect Type: suppress; Gene: PTGS2, Target: P35354, Standard Value: 1300, logFC: 6.82854706638038, Effect Type: suppress"
"NALTREXONE HYDROCHLORIDE",92.044614026102,0.233708358633273,1,0.55,"OPRD1","Gene: OPRD1, Target: P41143, Standard Value: 0.55, logFC: 2.92082461781706, Effect Type: suppress"
"NILOTINIB",-9.75815679208544,2.12706686241051,3,1569.63333333333,"CACNA1D; DDR1; DDR2","Gene: CACNA1D, Target: Q01668, Standard Value: 4700, logFC: -1.76845796417304, Effect Type: suppress; Gene: DDR1, Target: Q08345, Standard Value: 3.7, logFC: 1.65129198503885, Effect Type: suppress; Gene: DDR2, Target: Q16832, Standard Value: 5.2, logFC: -2.39380447626185, Effect Type: suppress"
"NILUTAMIDE",192.042517701909,3.23488988376348,1,9,"AR","Gene: AR, Target: P10275, Standard Value: 9, logFC: 1.78098041604884, Effect Type: suppress"
"NINTEDANIB",115.425927955502,3.69482318768552,1,98.2,"FGFR1","Gene: FGFR1, Target: P11362, Standard Value: 98.2, logFC: 3.09574698142338, Effect Type: suppress"
"OLMUTINIB",5.81625660715848,7.24623977634331,1,28589.7,"ESR1","Gene: ESR1, Target: P03372, Standard Value: 28589.7, logFC: -1.3571743946305, Effect Type: promote"
"OSIMERTINIB",0.0164708583662542,0.010048227802479,1,12641.2,"ADRA2C","Gene: ADRA2C, Target: P18825, Standard Value: 12641.2, logFC: 1.84298122760888, Effect Type: suppress"
"PACLITAXEL",66.9277779857974,7.06061538996969,5,4806.6,"FYN; ITGAV; TUBB1; TUBB4A; TUBB6","Gene: FYN, Target: P06241, Standard Value: 23906, logFC: 1.68170214430336, Effect Type: suppress; Gene: ITGAV, Target: P06756, Standard Value: 34, logFC: 1.23626074746912, Effect Type: suppress; Gene: TUBB1, Target: Q9H4B7, Standard Value: 31, logFC: -4.08429978421464, Effect Type: suppress; Gene: TUBB4A, Target: P04350, Standard Value: 31, logFC: 3.37366545889295, Effect Type: suppress; Gene: TUBB6, Target: Q9BUF5, Standard Value: 31, logFC: 1.14600392020266, Effect Type: suppress"
"PALBOCICLIB",1855.2221890034,20.9826632445336,10,1666.687,"CCND1; CCND3; CCNE1; LRRK2; PRKX; RET","Gene: CCND1, Target: P24385, Standard Value: 0.8, logFC: 1.00941201185406, Effect Type: suppress; Gene: CCND1, Target: P24385, Standard Value: 11, logFC: 1.00941201185406, Effect Type: suppress; Gene: CCND1, Target: P24385, Standard Value: 0.2, logFC: 1.00941201185406, Effect Type: suppress; Gene: CCND3, Target: P30281, Standard Value: 11, logFC: 1.07625704228391, Effect Type: suppress; Gene: CCND3, Target: P30281, Standard Value: 5, logFC: 1.07625704228391, Effect Type: suppress; Gene: CCND3, Target: P30281, Standard Value: 3.2, logFC: 1.07625704228391, Effect Type: suppress; Gene: CCNE1, Target: P24864, Standard Value: 9100, logFC: 2.30239334013451, Effect Type: suppress; Gene: LRRK2, Target: Q5S007, Standard Value: 2511.89, logFC: 2.74830150418066, Effect Type: suppress; Gene: PRKX, Target: P51817, Standard Value: 2511.89, logFC: 1.27850702643926, Effect Type: suppress; Gene: RET, Target: P07949, Standard Value: 2511.89, logFC: 3.97389650269221, Effect Type: suppress"
"PAMIDRONIC ACID",18.3374179407138,1.067142501749,1,55.9,"FDPS","Gene: FDPS, Target: P14324, Standard Value: 55.9, logFC: 1.28475900440877, Effect Type: suppress"
"PARSACLISIB",489.817758246731,1.98194007055137,1,1,"PIK3CD","Gene: PIK3CD, Target: O00329, Standard Value: 1, logFC: 2.47140549567912, Effect Type: suppress"
"PAZOPANIB",97.7576033855857,12.5154653084264,5,855.888,"DDR2; FGFR1; FYN; IGF1R; RET","Gene: DDR2, Target: Q16832, Standard Value: 51, logFC: -2.39380447626185, Effect Type: suppress; Gene: FGFR1, Target: P11362, Standard Value: 158.49, logFC: 3.09574698142338, Effect Type: suppress; Gene: FYN, Target: P06241, Standard Value: 1995.26, logFC: 1.68170214430336, Effect Type: suppress; Gene: IGF1R, Target: P08069, Standard Value: 1995.26, logFC: -6.10216275084247, Effect Type: suppress; Gene: RET, Target: P07949, Standard Value: 79.43, logFC: 3.97389650269221, Effect Type: suppress"
"PEMETREXED",53.7191168323874,5.2506947182828,3,1842.66666666667,"DHFR; TYMS","Gene: DHFR, Target: P00374, Standard Value: 68, logFC: 1.08937628092003, Effect Type: suppress; Gene: TYMS, Target: P04818, Standard Value: 5390, logFC: 1.44111172091726, Effect Type: suppress; Gene: TYMS, Target: P04818, Standard Value: 70, logFC: 1.44111172091726, Effect Type: suppress"
"PENTOSTATIN",1581.80155840893,0.315830210503233,1,0.0025,"ADA","Gene: ADA, Target: P00813, Standard Value: 0.0025, logFC: 2.50419609303452, Effect Type: suppress"
"PHENTOLAMINE",3.38815760041172,1.60119741637782,10,857.3609,"ADRA1B; ADRA2A; ADRA2C; SCN1A","Gene: ADRA1B, Target: P35368, Standard Value: 4.8, logFC: 2.43389099193517, Effect Type: suppress; Gene: ADRA1B, Target: P35368, Standard Value: 15.14, logFC: 2.43389099193517, Effect Type: suppress; Gene: ADRA1B, Target: P35368, Standard Value: 3.715, logFC: 2.43389099193517, Effect Type: promote; Gene: ADRA2A, Target: P08913, Standard Value: 55.9, logFC: -1.2933914383685, Effect Type: suppress; Gene: ADRA2A, Target: P08913, Standard Value: 3.162, logFC: -1.2933914383685, Effect Type: suppress; Gene: ADRA2A, Target: P08913, Standard Value: 3.715, logFC: -1.2933914383685, Effect Type: promote; Gene: ADRA2C, Target: P18825, Standard Value: 80.3, logFC: 1.84298122760888, Effect Type: suppress; Gene: ADRA2C, Target: P18825, Standard Value: 3.162, logFC: 1.84298122760888, Effect Type: suppress; Gene: ADRA2C, Target: P18825, Standard Value: 3.715, logFC: 1.84298122760888, Effect Type: promote; Gene: SCN1A, Target: P35498, Standard Value: 8400, logFC: 8.13135738460533, Effect Type: suppress"
"PIRARUBICIN",27.0590799498579,0.749613668705421,1,500,"PTGS1","Gene: PTGS1, Target: P23219, Standard Value: 500, logFC: 8.07161671437733, Effect Type: suppress"
"PLERIXAFOR",-0.548306443291876,0.381851271299583,1,140000,"ACKR3","Gene: ACKR3, Target: P25106, Standard Value: 140000, logFC: 5.37270662155064, Effect Type: promote"
