,Parental_T47D_cells_treated_with_vehicle_rep_1,Parental_T47D_cells_treated_with_vehicle_rep_2,Parental_T47D_cells_treated_with_vehicle_rep_3,4_hydroxytamoxifen_resistant_T47D_cells_treated_with_vehicle_rep_1,4_hydroxytamoxifen_resistant_T47D_cells_treated_with_vehicle_rep_2,4_hydroxytamoxifen_resistant_T47D_cells_treated_with_vehicle_rep_3
GTF2A2,291,138,1029,358,709,659
GTF2B,316,224,599,370,480,479
GTF2E1,341,179,626,726,770,812
GTF2E2,277,98,532,509,577,577
GTF2F1,221,102,1633,319,1704,1707
GTF2F2,231,223,558,410,446,381
GTF2F2P2,0,0,0,0,0,0
GTF2H1,661,449,1296,835,1018,958
GTF2H2,163,87,314,297,273,283
GTF2H2C,167,59,395,281,310,387
GTF2H3,821,533,1566,1722,1629,1773
GTF2H4,11,0,11,20,36,36
GTF2H5,242,153,573,1028,1074,1096
GTF2I,1229,614,2196,2115,1865,2379
GTF2I-AS1,0,0,0,1,3,0
GTF2IP11,0,0,0,0,0,0
GTF2IP14,47,38,71,20,20,25
GTF2IP15,0,0,0,0,0,0
GTF2IP22,0,0,0,0,0,0
GTF2IP3,0,0,0,0,0,0
GTF2IP5,7,0,8,3,9,6
GTF2IP9,0,0,0,0,0,0
GTF2IRD1,219,169,1193,101,456,565
GTF2IRD2,89,51,207,36,41,43
GTF2IRD2B,347,192,667,68,140,158
GTF2IRD2P1,8,2,6,0,0,2
GTF3A,476,319,930,673,897,862
GTF3AP2,0,0,0,0,0,0
GTF3C1,719,318,2304,1509,3692,3906
GTF3C2,485,250,1373,518,1451,1603
GTF3C2-AS1,0,0,1,0,1,0
GTF3C3,827,431,1438,1356,1063,1270
GTF3C4,1758,911,2885,2335,2335,2909
GTF3C5,244,101,1629,172,1219,1165
GTF3C6,106,96,281,427,564,477
GTF3C6P1,0,0,0,0,0,0
GTF3C6P3,0,0,0,0,0,0
GTPBP1,234,83,909,268,1128,1375
GTPBP10,438,248,763,806,774,821
GTPBP2,1929,759,5625,1531,3341,3637
GTPBP3,47,20,182,77,235,279
GTPBP4,1714,1014,3432,3548,4652,4457
GTPBP6,111,21,321,106,341,326
GTPBP8,142,97,449,195,251,239
GTSCR1,0,0,0,0,0,0
GTSE1,47,22,232,183,553,575
GTSE1-DT,2,1,6,0,5,2
GTSF1,0,0,0,1,0,1
GTSF1L,0,0,0,0,0,0
GUCA1A,0,0,0,0,0,0
GUCA1B,3,2,4,7,18,16
GUCA1C,0,0,0,0,0,0
GUCA2A,0,0,0,0,0,0
GUCA2B,0,0,0,0,0,0
GUCD1,434,233,1752,700,2755,2908
GUCY1A1,0,0,0,0,0,0
GUCY1A2,63,22,83,553,346,482
GUCY1B1,0,0,0,0,0,0
GUCY2C,0,0,0,0,0,0
GUCY2D,0,0,2,0,4,6
GUCY2F,0,0,0,1,1,0
GUCY2GP,0,0,0,0,0,0
GUF1,522,250,816,976,848,972
GUK1,63,51,534,82,533,503
GULP1,114,84,142,283,233,250
GUSB,439,239,1512,304,778,785
GUSBP11,48,31,154,53,107,149
GUSBP12,0,2,11,1,1,3
GUSBP5,0,0,0,0,0,0
GUSBP9,1,2,9,13,10,11
GVINP1,0,0,0,0,0,0
GVINP2,3,0,4,0,0,2
GVQW3,414,74,441,650,478,696
GXYLT1,1020,436,1960,4451,3228,4165
GXYLT1P4,0,0,0,0,0,0
GXYLT1P5,0,0,0,0,0,0
GXYLT1P6,0,0,0,0,0,0
GXYLT1P7,0,0,0,0,0,0
GXYLT2,37,1,80,75,79,90
GYG1,611,394,1351,1107,1138,1269
GYG1P1,0,0,0,1,0,0
GYG2,163,90,396,203,357,357
GYG2P2,0,0,0,0,0,0
GYPA,0,0,0,0,0,0
GYPB,0,0,0,0,0,0
GYPC,0,0,0,0,0,0
GYPE,0,0,0,0,0,0
GYS1,246,121,935,380,1785,2060
GYS2,0,0,0,0,0,0
GZF1,450,254,1265,319,522,581
GZMA,0,0,0,0,0,0
GZMAP1,0,0,0,0,0,0
GZMB,0,0,0,0,0,0
GZMH,0,0,0,0,0,0
GZMK,0,0,0,0,0,0
GZMM,0,0,0,0,0,0
H1-0,3846,2117,11472,2357,4772,5095
H1-1,0,0,0,0,0,0
H1-10,38,25,460,8,79,74
H1-2,28,51,261,63,521,499
H1-3,11,19,43,9,12,6
H1-4,10,3,78,4,27,19
H1-5,1,0,44,3,36,29
H1-6,0,0,0,1,0,1
H1-7,0,0,0,0,0,0
H1-8,0,0,0,0,0,0
H19,10,0,11,37,93,85
H2AB1,0,0,0,0,0,0
H2AB2,0,0,0,0,0,0
H2AB3,0,0,0,0,0,0
H2AC1,0,0,0,0,0,0
H2AC10P,0,0,0,0,0,0
H2AC11,0,0,0,0,0,0
H2AC12,2,0,3,0,8,8
H2AC13,8,10,54,165,177,239
H2AC14,0,0,14,1,7,5
