,Parental_T47D_cells_treated_with_vehicle_rep_1,Parental_T47D_cells_treated_with_vehicle_rep_2,Parental_T47D_cells_treated_with_vehicle_rep_3,4_hydroxytamoxifen_resistant_T47D_cells_treated_with_vehicle_rep_1,4_hydroxytamoxifen_resistant_T47D_cells_treated_with_vehicle_rep_2,4_hydroxytamoxifen_resistant_T47D_cells_treated_with_vehicle_rep_3
A1BG,8,0,11,3,10,7
A1BG-AS1,88,34,180,53,255,282
A1CF,0,0,0,0,0,0
A2M,0,0,0,0,0,0
A2M-AS1,0,0,0,4,2,4
A2ML1,0,0,0,20,31,22
A3GALT2,0,0,0,0,0,0
A4GALT,9,6,42,13,50,45
A4GNT,0,0,0,0,0,0
AA06,0,0,0,0,0,0
AAAS,548,254,1914,1388,1894,2136
AACS,275,179,915,1284,2269,2447
AADAC,0,0,1,0,0,0
AADACL2,0,0,0,0,0,0
AADACL3,0,0,0,0,0,0
AADACL4,0,0,0,0,0,0
AADAT,1,0,3,0,2,3
AAGAB,1144,903,2413,2295,2425,2594
AAK1,718,311,908,1065,859,1104
AAMDC,58,30,183,154,303,262
AAMP,444,329,2849,917,4121,4458
AANAT,0,0,2,0,2,0
AAR2,342,206,1451,372,1141,1200
AARD,20,21,33,206,281,297
AARS1,10152,5050,22970,7515,12440,13250
AARS1P1,0,0,0,0,0,0
AARS2,132,26,522,111,543,581
AARSD1,71,4,81,145,139,154
AARSD1P1,1,0,0,0,1,3
AASDH,321,202,509,618,486,537
AASDHPPT,824,541,1949,1245,1209,1326
AASS,158,47,289,918,791,810
AATBC,0,0,2,0,4,7
AATF,683,333,1884,1271,1726,1425
AATK,13,0,30,17,17,18
ABALON,1,0,2,0,3,1
ABAT,1845,1142,3700,1979,2843,3220
ABCA1,14,7,10,114,103,139
ABCA10,0,0,0,0,2,0
ABCA12,1733,816,1992,2058,1493,1677
ABCA13,3,0,4,2,0,3
ABCA2,363,96,3114,563,4734,5951
ABCA3,1019,394,7025,388,2354,2878
ABCA4,7,0,12,17,36,37
ABCA5,820,369,1387,1714,1195,1554
ABCA6,0,0,0,0,0,2
ABCA7,29,1,171,96,595,709
ABCA8,0,1,0,0,0,2
ABCA9,0,0,0,0,0,0
ABCA9-AS1,0,0,0,1,0,0
ABCB1,0,0,0,0,1,1
ABCB10,254,212,548,464,544,579
ABCB10P3,0,0,0,0,0,0
ABCB10P4,0,0,0,0,0,0
ABCB11,0,0,0,7,3,10
ABCB4,8,37,25,7,16,13
ABCB5,0,0,0,0,0,0
ABCB6,8,7,23,27,33,57
ABCB7,329,173,655,603,642,634
ABCB8,106,50,404,101,429,413
ABCB9,32,2,178,72,345,375
ABCC1,286,140,925,762,1595,1783
ABCC10,77,16,317,148,418,512
ABCC11,3818,1965,10338,5796,12523,14195
ABCC12,271,86,466,397,484,471
ABCC2,8,1,16,23,12,26
ABCC3,41,28,123,905,2455,3284
ABCC4,0,0,0,35,38,41
ABCC5,2628,942,4449,4169,5369,6068
ABCC5-AS1,0,0,1,0,0,0
ABCC6,94,39,216,368,558,666
ABCC8,4,0,4,1,3,2
ABCC9,4,0,8,5,5,7
ABCD1,16,0,180,12,174,178
ABCD1P2,0,0,0,0,0,0
ABCD2,0,0,0,0,0,0
ABCD3,666,379,1367,2116,1785,1909
ABCD4,159,46,924,194,710,752
ABCE1,1567,984,3123,3215,2722,2984
ABCF1,1025,444,2980,2762,4662,4821
ABCF2,35,21,100,48,155,124
ABCF2-H2BK1,0,0,0,0,0,0
ABCF2P1,0,0,0,0,0,0
ABCF2P2,0,0,0,0,0,0
ABCF3,698,320,3508,1420,4889,5593
ABCG1,66,8,299,155,395,491
ABCG2,2,0,3,5,0,0
ABCG4,1,0,0,3,7,7
ABCG5,0,0,0,0,0,0
ABCG8,1,0,1,0,0,0
ABHD1,9,4,44,24,26,32
ABHD10,553,297,1070,689,669,657
ABHD11,137,51,669,76,345,282
ABHD12,279,166,808,339,974,950
ABHD12B,2,1,3,2,0,3
ABHD13,262,141,531,703,519,641
ABHD14A,2,0,8,2,8,6
ABHD14A-ACY1,3,0,2,2,1,1
ABHD14B,490,321,1143,259,656,652
ABHD15,48,33,212,78,155,167
ABHD16A,46,7,116,108,135,141
ABHD16B,0,0,0,0,0,0
ABHD17A,32,7,220,51,346,346
ABHD17B,102,55,212,137,194,221
ABHD17C,270,137,508,183,229,207
ABHD18,287,169,538,504,457,547
ABHD2,1517,678,2829,1679,2043,2360
ABHD3,77,57,147,176,230,227
ABHD4,110,27,236,206,525,587
ABHD5,654,285,1099,1489,1389,1433
ABHD6,20,35,65,14,19,19
ABHD8,3,0,68,12,61,65
ABI1,1464,672,2730,2033,2249,2582
ABI2,1059,483,1607,1663,1654,1853
ABI3,0,0,0,1,0,0
ABI3BP,13,4,17,173,177,226
ABITRAM,786,492,1407,607,724,660
ABL1,562,244,1875,441,1133,1384
ABL2,786,259,1036,1157,889,1335
ABLIM1,2216,1129,3486,2738,2641,3609
ABLIM2,1,0,1,0,0,0
ABLIM3,130,85,298,220,440,422
ABO,0,0,0,0,0,0
ABR,487,208,1857,440,1506,1767
ABRA,0,0,0,0,0,0
ABRACL,76,50,355,456,1136,1257
ABRAXAS1,487,292,862,377,438,436
ABRAXAS1P1,0,0,0,0,0,0
ABRAXAS2,355,189,740,556,532,646
ABT1,105,62,690,92,310,361
ABTB1,17,11,105,6,30,26
ABTB2,54,18,153,78,179,249
ABTB3,5,0,4,7,5,12
ACAA1,121,83,629,303,1255,1225
ACAA2,188,118,432,535,722,716
ACAA2P1,5,0,4,2,2,0
ACACA,827,447,1181,6536,6389,7693
ACACB,58,35,105,68,167,219
ACAD10,580,248,1216,970,1463,1695
ACAD11,34,7,109,10,77,101
ACAD8,440,195,1163,721,1090,1161
ACAD9,567,325,2241,459,1297,1402
ACAD9-DT,2,0,15,28,32,32
ACADL,0,0,0,0,0,0
ACADM,701,520,1868,1646,1646,1814
ACADS,13,6,112,7,31,45
ACADSB,821,578,1564,1759,1638,2017
ACADVL,1405,498,4510,2025,6484,6497
ACAN,0,0,0,0,0,0
ACAP1,11,0,20,2,20,13
ACAP2,3843,2068,6172,6452,5130,7050
ACAP3,57,6,279,135,539,625
ACAT1,1964,1535,3947,2915,3098,2901
ACAT2,204,89,452,1363,2117,2006
ACBD3,2582,1425,4002,2411,2344,2481
ACBD3-AS1,1,1,0,1,4,3
ACBD4,103,27,486,135,578,632
ACBD5,603,285,1341,920,878,927
ACBD6,492,197,1311,396,668,693
ACBD7,589,270,1092,692,940,940
ACCS,455,118,1032,471,758,890
ACCSL,0,0,0,0,0,0
ACD,16,4,137,17,100,102
ACE,20,20,97,25,65,67
ACE2,2,0,0,2,1,2
ACE2-DT,0,0,0,0,0,0
ACE3P,0,0,0,0,0,0
ACER1,4,3,20,22,141,92
ACER2,44,6,77,171,170,242
ACER3,708,318,971,9895,8433,9716
ACHE,0,0,0,0,1,4
ACIN1,1121,518,2564,3275,5084,5524
ACKR1,0,0,0,0,0,0
ACKR2,33,10,63,23,36,36
ACKR3,0,0,0,6,21,28
ACKR4,0,0,0,0,0,0
ACLY,1496,887,5243,7951,18937,25507
ACMSD,0,0,0,0,0,0
ACNATP,0,0,0,0,0,0
ACO1,316,201,567,801,1099,1309
ACO2,607,278,3678,436,2713,2988
ACO2P1,0,0,0,0,0,0
ACOD1,0,0,0,0,0,0
ACOT1,13,2,103,40,172,190
ACOT11,0,0,0,2,5,16
ACOT12,1,0,0,0,0,0
ACOT13,310,199,838,628,923,1049
ACOT2,182,129,931,88,387,488
ACOT4,252,177,634,48,52,48
ACOT6,21,12,36,3,3,3
ACOT7,8,12,97,23,219,275
ACOT8,78,25,369,117,212,224
ACOT9,447,221,810,913,948,957
ACOX1,1466,680,3155,4099,4626,5009
ACOX2,28,13,60,0,2,3
ACOX3,58,39,256,116,322,382
ACOXL,0,0,1,4,1,1
ACOXL-AS1,2,11,0,0,3,0
ACP1,898,533,2306,1299,1866,1854
ACP2,242,174,1200,230,834,885
ACP3,6,0,16,6,25,17
ACP4,0,0,0,1,0,0
ACP5,0,0,2,0,0,0
ACP6,277,111,393,315,328,446
ACP7,0,0,1,0,0,0
ACR,0,0,1,0,0,1
ACRBP,2,0,10,0,3,8
ACRP1,0,0,0,0,0,0
ACRV1,3,0,1,1,1,3
ACSBG1,2,0,0,0,1,2
ACSBG2,8,2,16,0,0,3
ACSF2,99,47,428,137,573,649
ACSF3,470,200,917,531,904,1025
ACSL1,905,389,2080,1974,2531,3124
ACSL3,914,581,1538,5086,4709,5155
ACSL4,42,33,30,1874,1325,1747
ACSL5,2,0,2,1,0,0
ACSL6,6,0,4,3,6,0
ACSL6-AS1,0,0,0,0,0,0
ACSM1,26,3,63,25,13,22
ACSM2A,0,0,0,0,0,0
ACSM2B,0,0,0,0,0,0
ACSM3,80,57,131,138,119,145
ACSM4,0,0,0,0,0,0
ACSM5,0,0,0,0,0,0
ACSM6,0,0,0,0,0,1
ACSS1,498,207,1915,225,543,601
ACSS2,289,114,772,594,1091,1388
ACSS3,439,258,657,309,309,343
ACTA1,0,0,0,0,0,0
ACTA2,20,13,56,7237,29674,28477
ACTA2-AS1,0,0,0,1,2,1
ACTB,9377,6393,31193,17116,47476,46447
ACTBL2,0,0,0,2,2,2
ACTBP1,0,0,0,0,0,0
ACTBP12,0,0,0,0,0,0
ACTBP14,0,0,0,0,0,1
ACTC1,0,0,0,0,1,0
ACTG1,3153,2411,20400,8017,35483,37859
ACTG1P12,0,0,0,0,0,0
ACTG1P14,0,0,0,0,1,0
ACTG1P15,0,0,0,0,0,0
ACTG1P16,0,0,0,0,0,0
ACTG1P19,0,0,0,0,0,0
ACTG1P21,0,0,0,0,0,0
ACTG1P22,0,0,0,0,0,0
ACTG1P23,0,0,0,0,0,0
ACTG1P24,5,1,4,0,0,1
ACTG2,0,0,0,1,1,0
ACTL10,1,0,3,0,2,0
ACTL11P,0,0,0,0,0,1
ACTL6A,1880,1125,4453,3686,4389,4442
ACTL6B,0,0,0,0,0,0
ACTL7A,0,0,0,0,0,0
ACTL7B,0,0,0,0,1,0
ACTL8,0,0,6,8,11,11
ACTL9,0,0,0,0,0,0
ACTMAP,398,152,636,335,506,590
ACTN1,607,300,2120,1120,4718,5010
ACTN1-DT,0,0,2,0,1,1
ACTN2,0,0,0,35,43,49
ACTN3,0,0,0,0,0,0
ACTN4,815,487,3719,1333,5271,5537
ACTN4P1,0,0,0,0,1,0
ACTP1,0,0,0,0,0,0
ACTR10,946,608,2320,1099,1427,1520
ACTR1A,1095,631,3992,2270,5478,5764
ACTR1AP1,0,0,0,0,0,0
ACTR1B,137,73,690,82,403,474
ACTR2,5332,3524,10443,22124,17891,20910
ACTR3,1573,1064,3231,5026,4455,4865
ACTR3B,90,14,234,209,242,232
ACTR3BP2,0,0,0,0,0,0
ACTR3C,69,50,133,270,237,306
ACTR3P2,0,0,0,0,0,0
ACTR5,70,10,177,64,76,90
ACTR6,482,264,1225,1220,1202,1167
ACTR6P1,0,0,0,0,0,0
ACTR8,217,113,433,216,274,310
ACTRT1,0,0,0,0,0,0
ACTRT2,0,0,0,0,0,0
ACTRT3,14,3,30,23,43,55
ACVR1,99,73,187,263,290,287
ACVR1B,858,392,1548,1226,1715,1965
ACVR1C,0,0,0,41,30,58
ACVR2A,118,96,162,160,125,143
ACVR2B,321,99,464,345,256,388
ACVR2B-AS1,49,5,77,27,27,25
ACVRL1,0,0,0,0,1,1
ACY1,8,6,42,2,14,15
ACY3,0,0,0,2,6,6
ACYP1,164,59,284,305,367,365
ACYP2,17,15,32,27,39,44
ADA,2,0,13,15,75,78
ADA2,0,0,0,0,2,1
ADAD1,0,0,0,0,0,0
ADAD1P2,0,0,0,0,0,0
ADAD2,0,0,0,0,1,0
ADAM10,2248,1256,3683,6562,5485,6553
ADAM11,10,3,50,8,27,44
ADAM12,1,0,4,5,5,5
ADAM15,618,286,5148,637,4655,5124
ADAM17,535,228,941,1370,1251,1545
ADAM18,0,0,0,0,0,0
ADAM19,1,0,1,34,64,73
ADAM1B,0,0,0,0,0,0
ADAM2,0,0,0,0,0,0
ADAM20,3,0,1,0,0,2
ADAM20P3,0,0,0,0,0,0
ADAM21,2,0,3,7,13,14
ADAM22,433,198,624,838,628,646
ADAM23,0,0,0,0,0,3
ADAM24P,0,0,0,0,0,0
ADAM28,0,0,0,1,2,1
ADAM29,0,0,0,0,0,0
ADAM30,0,0,0,0,0,0
ADAM32,6,0,8,35,15,21
ADAM33,0,0,2,0,0,0
ADAM3B,0,0,0,0,0,0
ADAM5,0,0,0,0,0,0
ADAM7,0,0,0,0,0,0
ADAM7-AS2,0,0,0,0,0,0
ADAM8,5,0,51,6,35,36
ADAM9,3506,1693,6674,26189,24133,26653
ADAMDEC1,0,0,0,0,0,0
ADAMTS1,8,0,8,18,29,27
ADAMTS10,7,0,8,1,18,24
ADAMTS12,0,0,0,0,0,0
ADAMTS13,17,6,157,16,90,120
ADAMTS14,0,0,0,0,0,0
ADAMTS15,1566,706,5835,187,518,577
ADAMTS16,0,0,0,0,0,0
ADAMTS16-DT,0,0,0,0,0,0
ADAMTS17,1,0,4,9,25,45
ADAMTS18,0,0,0,0,0,0
ADAMTS19,12,23,16,22,15,14
ADAMTS19-AS1,8,0,8,9,7,13
ADAMTS2,0,0,0,1,1,2
ADAMTS20,71,23,49,61,41,80
ADAMTS3,0,0,5,81,57,64
ADAMTS4,1,0,11,51,188,248
ADAMTS5,0,0,0,1,2,0
ADAMTS6,0,0,0,8,3,7
ADAMTS7,0,6,12,11,49,64
ADAMTS7P1,0,0,0,0,0,0
ADAMTS7P3,0,0,0,0,0,0
ADAMTS7P4,0,0,1,0,2,0
ADAMTS8,0,0,1,1,11,5
ADAMTS9,0,0,0,3,0,0
ADAMTS9-AS1,0,0,0,0,0,0
ADAMTS9-AS2,0,0,0,0,0,0
ADAMTSL1,0,0,0,0,0,0
ADAMTSL2,0,0,0,1,0,1
ADAMTSL3,10,7,16,12,21,10
ADAMTSL4,26,1,98,25,97,146
ADAMTSL4-AS2,0,0,0,3,3,9
ADAMTSL5,90,54,176,123,285,292
ADAP1,3,0,20,0,10,12
ADAP2,23,0,52,89,155,164
ADAR,4881,2335,8632,7245,8661,9487
ADARB1,158,59,336,179,310,402
ADARB2,36,10,91,14,28,43
ADARB2-AS1,0,0,0,4,15,14
ADAT1,404,269,759,561,724,887
ADAT2,221,75,317,484,380,455
ADAT3,10,0,18,16,32,34
ADCK1,65,41,299,32,162,186
ADCK2,94,40,541,109,381,424
ADCK5,14,4,131,7,125,94
ADCY1,72,41,202,170,270,374
ADCY10,5,0,0,1,4,3
ADCY2,56,24,157,795,1640,1963
ADCY3,21,6,158,65,412,474
ADCY4,0,0,1,0,3,3
ADCY5,0,0,0,0,0,0
ADCY6,925,344,2468,1588,5189,6137
ADCY6-DT,6,0,6,8,5,8
ADCY7,2,0,5,13,29,35
ADCY8,2,0,0,0,0,0
ADCY9,459,209,1804,408,1359,1662
ADCYAP1,0,0,0,0,0,0
ADCYAP1R1,0,0,0,0,0,0
ADD1,1200,524,4057,2585,5451,5885
ADD2,0,0,0,1,0,0
ADD3,519,222,824,1657,1355,1620
ADD3-AS1,0,0,0,1,1,1
ADGB,17,3,10,6,8,8
ADGB-DT,0,0,0,0,0,0
ADGRA1,0,0,0,0,0,0
ADGRA2,24,20,51,37,135,114
ADGRA3,434,236,642,782,845,940
ADGRA3P1,0,0,0,2,0,2
ADGRB1,3,0,6,31,183,220
ADGRB2,66,9,429,171,1067,1242
ADGRB3,0,0,2,2,1,4
ADGRD1,2,0,1,1,2,7
ADGRD2,0,0,0,0,0,0
ADGRE1,0,0,0,7,13,8
ADGRE2,1,0,0,7,10,14
ADGRE3,0,0,0,0,0,0
ADGRE5,62,41,303,242,1154,1248
ADGRF1,19,8,19,105,70,92
ADGRF3,1,0,4,3,4,6
ADGRF4,1,0,2,0,1,2
ADGRF5,0,0,0,32,30,33
ADGRF5P1,1,0,3,2,0,1
ADGRG1,769,292,4202,684,5134,6165
ADGRG2,0,0,1,2,2,5
ADGRG3,0,0,1,0,2,3
ADGRG4,0,0,0,0,0,0
ADGRG5,0,0,0,0,0,0
ADGRG6,1671,910,2337,3077,2496,3143
ADGRG7,0,0,1,26,12,19
ADGRL1,216,82,867,336,1767,2063
ADGRL1-AS1,33,0,87,31,46,57
ADGRL2,39,40,35,55,40,46
ADGRL3,0,0,1,7,9,6
ADGRL4,0,0,0,0,0,0
ADGRV1,199,99,297,266,202,278
ADH1A,0,0,0,0,0,0
ADH1B,0,0,0,0,0,0
ADH1C,0,0,0,0,0,2
ADH4,0,0,0,0,0,0
ADH5,1417,844,3019,1637,2141,2196
ADH5P2,0,0,0,0,0,0
ADH5P3,0,0,0,0,0,0
ADH5P5,0,0,0,0,0,0
ADH6,1,0,0,0,1,0
ADH7,0,0,0,0,0,0
ADHFE1,82,22,129,69,94,103
ADI1,407,295,988,690,1141,1052
ADI1P3,0,0,0,0,0,0
ADIG,0,0,0,0,0,0
ADIPOQ,0,0,0,10,14,10
ADIPOQ-AS1,0,0,0,0,0,0
ADIPOR1,1805,1201,3936,1891,3194,3193
ADIPOR2,1736,1007,3555,4286,4455,4969
ADIRF,47,22,701,216,1584,1610
ADISSP,5,0,79,10,41,52
ADK,815,470,1695,2109,2665,2488
ADM,42,22,214,21,70,63
ADM2,270,109,1492,79,460,456
ADM5,4,0,10,0,8,9
ADNP,2886,1626,4004,3418,2976,3456
ADNP-AS1,26,4,55,10,33,36
ADNP2,452,150,1070,554,753,798
ADO,678,367,855,1012,890,1029
ADORA1,3,4,7,2,4,9
ADORA2A,4,0,8,15,58,68
ADORA2A-AS1,0,0,0,0,1,0
ADORA2B,0,0,0,0,0,0
ADORA3,0,0,0,0,0,0
ADPGK,398,227,743,660,810,781
ADPGK-AS1,0,0,2,0,0,2
ADPRH,16,0,25,41,38,35
ADPRHL1,55,53,303,108,238,244
ADPRM,109,62,199,139,111,128
ADPRS,44,15,206,49,232,206
ADRA1A,0,0,0,0,1,1
ADRA1B,0,0,6,14,29,33
ADRA1D,0,0,0,0,0,0
ADRA2A,365,225,790,208,351,382
ADRA2B,0,5,1,0,4,2
ADRA2C,1,2,11,5,55,78
ADRB1,23,5,35,4,3,8
ADRB2,14,0,2,0,1,1
ADRB3,0,0,0,0,0,0
ADRM1,52,24,750,113,859,916
ADSL,213,103,351,414,397,418
ADSS1,16,4,58,26,85,83
ADSS2,1102,736,1783,1380,1230,1189
ADTRP,0,0,2,1,4,1
AEBP1,0,0,0,0,2,3
AEBP2,605,433,1189,1749,1581,1704
AEN,86,28,268,106,253,260
AFAP1,99,79,292,66,170,198
AFAP1-AS1,0,0,0,0,1,0
AFAP1L1,1,0,0,5,6,1
AFAP1L2,0,1,1,7,2,13
AFDN,736,290,906,1334,1052,1432
AFF1,1126,506,1683,1419,1216,1606
AFF2,1,3,8,6,11,14
AFF3,1709,1011,2868,1424,1441,1864
AFF4,3732,1601,5016,6250,4167,6075
AFG1L,122,98,281,241,251,311
AFG2A,306,191,573,456,532,509
AFG2B,150,88,228,138,135,119
AFG3L2,831,508,2146,1190,1699,1686
AFM,0,0,0,0,0,0
AFMID,200,124,475,331,832,1025
AFP,0,0,0,0,0,0
AFTPH,1341,756,2591,1757,1468,1588
AFTPH-DT,2,3,6,0,6,1
AGA,251,148,669,339,502,490
AGA-DT,13,14,31,15,10,15
AGAP1,1076,603,2691,499,996,1115
AGAP1-IT1,3,0,2,0,2,4
AGAP11,0,0,10,43,26,37
AGAP2,2,0,6,1,6,8
AGAP2-AS1,1,0,36,0,12,1
AGAP3,53,25,466,187,660,787
AGAP4,112,36,208,269,344,366
AGAP5,28,9,40,58,47,68
AGAP6,67,8,116,283,318,444
AGAP9,50,38,137,90,206,227
AGBL1,0,0,0,0,0,0
AGBL1-AS1,0,1,0,0,0,0
AGBL2,69,73,87,103,121,129
AGBL3,12,0,26,45,33,34
AGBL4,4,2,7,18,17,21
AGBL4-AS1,0,0,0,0,0,0
AGBL4-IT1,0,0,0,3,0,0
AGBL5,414,315,1144,338,703,808
AGBL5-AS1,0,0,0,0,0,0
AGER,27,6,112,61,243,218
AGFG1,817,385,1219,1041,884,1011
AGFG2,30,10,142,39,153,169
AGGF1,334,108,560,455,477,482
AGGF1P4,0,0,0,0,0,0
AGGF1P6,0,0,0,0,0,0
AGGF1P7,0,0,0,0,0,0
AGGF1P8,0,0,0,0,0,0
AGGF1P9,0,0,0,0,0,0
AGK,390,199,658,795,851,962
AGKP1,0,0,0,0,0,0
AGKP2,0,0,0,1,0,0
AGL,535,307,901,2133,1365,1789
AGMAT,7,0,19,14,20,26
AGMO,1,0,1,2,6,5
AGO1,942,547,1242,2087,1969,2416
AGO2,1362,618,2104,2129,2246,3079
AGO3,428,255,641,725,531,656
AGO4,305,154,433,494,479,621
AGPAT1,514,273,1768,679,2961,2912
AGPAT2,20,12,235,11,135,141
AGPAT3,374,190,1298,1072,2090,2204
AGPAT4,63,18,106,499,747,827
AGPAT5,302,172,544,649,655,640
AGPAT5P1,0,0,0,0,0,0
AGPS,13,0,13,3,0,0
AGR2,11464,6792,23121,7522,10741,9593
AGR3,1417,1064,2732,500,447,399
AGRN,211,67,1780,420,2456,2731
AGRP,0,0,0,0,0,0
AGT,2,0,7,5,3,16
AGTPBP1,201,81,305,199,168,191
AGTR1,0,0,0,0,0,0
AGTR2,0,0,0,0,0,0
AGTRAP,43,18,425,46,456,489
AGXT,0,2,0,0,0,0
AGXT2,9,12,37,8,20,17
AHCTF1,1894,759,2617,3193,2199,2631
AHCY,1325,873,6050,2249,5942,6087
AHCYL1,3085,1603,5103,2997,3700,4209
AHCYL2,310,140,493,618,561,655
AHCYP2,0,0,0,0,0,0
AHCYP3,0,0,0,0,0,0
AHCYP4,0,0,0,0,0,0
AHCYP5,0,0,0,0,0,0
AHCYP7,0,0,0,0,0,0
AHDC1,32,16,141,57,195,205
AHI1,387,185,588,987,695,848
AHI1-DT,15,4,18,35,11,25
AHNAK,26944,10249,32861,20964,21754,29654
AHNAK2,288,129,670,127,271,316
AHR,572,334,832,459,395,375
AHRR,2,0,5,3,5,13
AHSA1,590,325,1483,1113,1865,1681
AHSG,0,0,0,0,0,1
AHSP,0,0,0,0,0,0
AICDA,0,0,0,0,0,0
AIDA,764,417,1289,1180,1136,1447
AIDAP2,6,0,20,8,5,4
AIF1,0,0,0,0,0,0
AIF1L,1079,588,2295,610,1118,1131
AIFM1,701,424,1913,1826,2482,2640
AIFM1P1,0,0,0,0,0,0
AIFM2,16,4,83,7,31,35
AIFM3,14,0,93,14,89,74
AIG1,538,268,1100,1056,1238,1345
AIG1P1,0,0,0,0,0,0
AIM2,0,0,0,0,0,0
AIMP1,1447,1049,2867,2895,2192,2471
AIMP1P1,0,0,0,0,0,0
AIMP2,367,230,1112,79,212,211
AIP,148,63,1047,90,517,612
AIPL1,0,0,0,0,0,0
AIRE,0,0,0,0,0,0
AIRIM,142,23,434,234,378,407
AIRN,0,0,0,0,0,0
AJAP1,0,0,0,0,0,0
AJM1,18,3,370,6,154,137
AJUBA,521,247,1102,631,911,841
AK1,19,19,86,8,28,27
AK2,2909,1744,6261,4052,4433,4496
AK2P1,2,0,1,0,2,0
AK3,641,332,1301,987,922,1005
AK3P3,3,0,1,13,4,5
AK3P4,0,0,0,0,0,0
AK3P7,0,0,0,0,0,0
AK4,1525,760,2280,2076,1619,1929
AK4P5,0,0,0,0,0,0
AK5,0,0,0,0,0,0
AK6,435,224,703,579,563,526
AK6P1,0,0,0,0,0,0
AK6P2,0,0,0,0,0,0
AK7,82,18,209,69,102,91
AK8,36,31,128,33,62,57
AK9,328,200,534,202,187,215
AKAIN1,0,0,0,0,0,0
AKAP1,446,216,1278,299,805,892
AKAP1-DT,20,11,94,31,47,56
AKAP10,675,333,1244,812,852,920
AKAP11,2128,1147,2753,3308,2068,2775
AKAP12,90,38,180,79,77,82
AKAP13,425,200,719,742,646,869
AKAP14,5,1,7,9,8,8
AKAP17A,242,67,1176,233,695,789
AKAP3,0,0,0,4,0,3
AKAP4,0,0,0,0,0,0
AKAP5,19,4,32,100,73,93
AKAP6,50,6,59,237,177,225
AKAP7,15,14,28,129,134,127
AKAP8,144,42,483,340,585,598
AKAP8L,492,296,1463,1271,3158,3425
AKAP8P1,0,0,0,0,0,0
AKAP9,1040,469,1224,2119,1275,1900
AKIP1,61,61,297,199,393,428
AKIRIN1,454,240,912,1319,1500,1459
AKIRIN1P1,0,0,0,0,0,0
AKIRIN2,166,61,330,357,471,470
AKNA,196,67,987,331,1322,1621
AKNAD1,0,0,0,1,6,5
AKR1A1,306,212,1062,381,1277,1309
AKR1B1,0,0,0,0,1,0
AKR1B10,0,0,0,1,1,0
AKR1B10P2,0,0,0,0,0,0
AKR1B15,0,0,0,0,0,0
AKR1B1P1,0,0,2,0,0,0
AKR1C1,11,10,20,11,21,12
AKR1C2,9,3,11,14,12,9
AKR1C3,4,0,0,34,26,37
AKR1C4,0,0,0,0,0,0
AKR1C7P,0,0,0,0,1,1
AKR1C8,0,0,0,0,0,0
AKR1D1,0,0,0,0,0,0
AKR1E2,34,11,78,16,31,32
AKR7A2,106,90,507,127,483,482
AKR7A3,6,0,21,3,22,17
AKR7L,11,0,17,9,25,15
AKT1,413,169,2853,642,3710,4104
AKT1S1,240,79,901,420,1661,1800
AKT2,708,345,3314,718,3024,3418
AKT3,0,0,3,9,10,12
AKT3-IT1,0,0,0,0,0,0
AKTIP,581,347,1159,1055,1114,1125
ALAD,714,435,1674,1150,1578,1725
ALAS1,473,166,1307,346,959,914
ALAS2,0,0,0,0,0,0
ALB,0,0,0,0,0,1
ALCAM,4889,2816,8300,14109,11645,13583
ALDH16A1,14,6,195,44,153,171
ALDH18A1,2210,1347,5305,2565,4298,4547
ALDH1A1,0,0,0,5,7,9
ALDH1A2,0,0,0,0,0,0
ALDH1A3,31,13,108,620,835,957
ALDH1A3-AS1,0,0,1,4,6,4
ALDH1B1,86,66,301,86,208,177
ALDH1L1,0,0,1,1,2,1
ALDH1L1-AS1,6,10,17,4.5,7,6
ALDH1L1-AS2,0,0,0,0,0,0
ALDH1L2,4019,1853,5144,1484,1058,1325
ALDH2,255,157,745,149,479,498
ALDH3A1,0,0,0,0,3,0
ALDH3A2,2344,1282,4427,3185,3280,3371
ALDH3B1,68,22,331,49,224,235
ALDH3B2,111,73,526,273,1498,1584
ALDH4A1,68,80,579,240,1643,2041
ALDH5A1,387,206,755,606,888,948
ALDH6A1,3723,2136,7723,2880,3956,4102
ALDH7A1,1183,726,2937,3264,4977,5186
ALDH7A1P1,1,1,0,1,5,10
ALDH7A1P2,0,0,0,0,0,0
ALDH8A1,1,0,0,1,0,2
ALDH9A1,1439,828,2903,2400,3002,3118
ALDOA,57,14,774,69,562,561
ALDOB,0,0,0,0,0,0
ALDOC,211,95,1115,221,1366,1598
ALG1,252,177,761,199,434,418
ALG10,155,67,242,264,217,277
ALG10B,894,365,1352,1147,704,1170
ALG11,465,235,772,1443,1026,1383
ALG12,106,49,622,55,246,254
ALG13,199,129,314,392,414,413
ALG14,92,70,245,100,189,197
ALG14-AS1,21,14,24,49,54,65
ALG1L10P,0,0,0,0,0,0
ALG1L11P,0,0,0,0,0,2
ALG1L2,0,0,7,17,5,15
ALG1L3P,0,0,0,0,0,0
ALG1L5P,0,0,0,0,0,0
ALG1L8P,0,0,0,0,0,0
ALG2,358,104,534,272,291,340
ALG3,371,209,1261,462,1282,1199
ALG3P1,0,0,1,0,0,0
ALG5,302,182,975,318,333,346
ALG6,273,177,557,543,505,594
ALG8,884,539,1669,1203,1352,1356
ALG9,406,172,580,529,540,578
ALK,0,0,0,0,0,0
ALKAL1,0,0,0,0,0,0
